commit_author_name,commit_author_date,value,type
JR Ladd,2021-01-14 22:29:16+00:00,0,deletions
JR Ladd,2021-01-14 22:26:25+00:00,-7,deletions
JR Ladd,2021-01-04 23:17:29+00:00,-2,deletions
JR Ladd,2021-01-04 22:43:22+00:00,-5,deletions
JR Ladd,2020-12-31 17:54:51+00:00,-4,deletions
JR Ladd,2020-12-31 17:15:05+00:00,0,deletions
JR Ladd,2020-12-30 17:34:23+00:00,-15,deletions
JR Ladd,2020-12-30 17:31:31+00:00,-1,deletions
JR Ladd,2020-12-23 17:13:47+00:00,0,deletions
JR Ladd,2020-12-23 16:53:53+00:00,-4,deletions
JR Ladd,2020-12-22 23:01:18+00:00,0,deletions
JR Ladd,2020-12-22 22:55:34+00:00,-8,deletions
JR Ladd,2020-12-22 22:09:53+00:00,-3,deletions
JR Ladd,2020-12-22 21:45:22+00:00,-1,deletions
ZoeLeBlanc,2020-12-21 19:54:13+00:00,-313,deletions
ZoeLeBlanc,2020-12-21 19:53:34+00:00,0,deletions
ZoeLeBlanc,2020-12-21 19:52:11+00:00,0,deletions
ZoeLeBlanc,2020-12-21 19:50:09+00:00,-1,deletions
ZoeLeBlanc,2020-12-17 17:41:09+00:00,-19,deletions
ZoeLeBlanc,2020-12-16 23:00:15+00:00,-44,deletions
ZoeLeBlanc,2020-12-16 20:29:13+00:00,-93,deletions
ZoeLeBlanc,2020-12-16 20:08:59+00:00,-167,deletions
ZoeLeBlanc,2020-12-11 17:14:00+00:00,0,deletions
ZoeLeBlanc,2020-12-11 17:13:56+00:00,-96,deletions
JR Ladd,2020-12-08 21:34:27+00:00,-8,deletions
ZoeLeBlanc,2020-12-08 16:14:41+00:00,-135,deletions
ZoeLeBlanc,2020-12-04 18:27:45+00:00,-12,deletions
ZoeLeBlanc,2020-12-03 21:37:53+00:00,-1,deletions
JR Ladd,2020-12-02 00:10:23+00:00,-2,deletions
JR Ladd,2020-12-01 23:09:28+00:00,-7,deletions
JR Ladd,2020-12-01 21:48:14+00:00,-397,deletions
JR Ladd,2020-12-01 21:45:29+00:00,-1093,deletions
JR Ladd,2020-12-01 21:44:44+00:00,-1093,deletions
JR Ladd,2020-12-01 21:43:32+00:00,-820,deletions
JR Ladd,2020-12-01 21:39:58+00:00,-5,deletions
ZoeLeBlanc,2020-12-01 21:19:13+00:00,-2,deletions
ZoeLeBlanc,2020-11-30 16:22:01+00:00,-459,deletions
ZoeLeBlanc,2020-11-24 23:43:05+00:00,-9,deletions
ZoeLeBlanc,2020-11-24 23:32:34+00:00,-110,deletions
JR Ladd,2020-11-24 23:04:42+00:00,-4,deletions
ZoeLeBlanc,2020-11-17 21:20:19+00:00,0,deletions
ZoeLeBlanc,2020-11-17 21:20:15+00:00,-16,deletions
JR Ladd,2020-11-17 21:19:08+00:00,-8,deletions
JR Ladd,2020-11-13 17:25:34+00:00,-4,deletions
JR Ladd,2020-11-13 16:52:27+00:00,-4,deletions
JR Ladd,2020-11-12 23:25:58+00:00,-6,deletions
JR Ladd,2020-11-03 16:01:41+00:00,-4,deletions
JR Ladd,2020-10-25 20:58:33+00:00,0,deletions
JR Ladd,2020-10-25 20:36:45+00:00,-1,deletions
JR Ladd,2020-10-24 22:33:27+00:00,-5,deletions
JR Ladd,2020-10-24 21:50:07+00:00,-72,deletions
ZoeLeBlanc,2020-10-20 23:23:09+00:00,-473,deletions
ZoeLeBlanc,2020-10-20 22:57:45+00:00,-1,deletions
ZoeLeBlanc,2020-10-20 20:35:11+00:00,-33,deletions
ZoeLeBlanc,2020-10-20 16:50:52+00:00,-27,deletions
JR Ladd,2020-10-20 15:25:53+00:00,-3,deletions
JR Ladd,2020-10-20 15:09:26+00:00,-20,deletions
ZoeLeBlanc,2020-10-20 01:24:33+00:00,-158,deletions
JR Ladd,2020-10-16 22:39:00+00:00,-14,deletions
JR Ladd,2020-10-16 22:10:55+00:00,-22,deletions
JR Ladd,2020-10-15 23:10:20+00:00,-35,deletions
JR Ladd,2020-10-15 01:21:12+00:00,-560,deletions
JR Ladd,2019-08-30 14:15:53+00:00,-1,deletions
JR Ladd,2019-08-30 14:13:05+00:00,-1,deletions
Matthew Lincoln,2019-08-29 21:56:05+00:00,-1,deletions
JR Ladd,2018-03-31 21:40:01+00:00,0,deletions
JR Ladd,2018-03-31 21:38:40+00:00,-9,deletions
JR Ladd,2018-01-23 19:51:02+00:00,-1,deletions
JR Ladd,2018-01-16 16:12:13+00:00,-1143,deletions
JR Ladd,2018-01-15 19:25:47+00:00,-61,deletions
JR Ladd,2018-01-12 20:00:15+00:00,-1,deletions
JR Ladd,2018-01-12 19:16:03+00:00,-11,deletions
JR Ladd,2018-01-11 22:47:52+00:00,-1,deletions
JR Ladd,2018-01-11 20:29:04+00:00,-7,deletions
JR Ladd,2018-01-11 20:15:57+00:00,-11,deletions
JR Ladd,2018-01-11 18:49:25+00:00,-2,deletions
JR Ladd,2017-08-29 03:20:17+00:00,0,deletions
JR Ladd,2017-08-29 03:17:01+00:00,-1,deletions
JR Ladd,2017-08-29 03:14:15+00:00,-7,deletions
JR Ladd,2017-08-10 03:12:41+00:00,-15,deletions
JR Ladd,2017-08-09 03:19:18+00:00,0,deletions
